3, 2018-10-28
2, 2018-10-29
8, 2018-10-30
1, 2018-10-31
14, 2018-11-01
1, 2018-11-02
7, 2018-11-03
12, 2018-11-04
13, 2018-11-05
7, 2018-11-06
8, 2018-11-07
19, 2018-11-08
5, 2018-11-09
3, 2018-11-10
0, 2018-11-11
6, 2018-11-12
4, 2018-11-13
20, 2018-11-14
5, 2018-11-15
4, 2018-11-16
1, 2018-11-17
4, 2018-11-18
1, 2018-11-19
15, 2018-11-20
7, 2018-11-21
10, 2018-11-22
4, 2018-11-23
0, 2018-11-24
4, 2018-11-25
13, 2018-11-26
7, 2018-11-27
21, 2018-11-28
28, 2018-11-29
0, 2018-11-30
4, 2018-12-01
10, 2018-12-02
12, 2018-12-03
13, 2018-12-04
9, 2018-12-05
4, 2018-12-06
4, 2018-12-07
2, 2018-12-08
3, 2018-12-09
8, 2018-12-10
7, 2018-12-11
10, 2018-12-12
20, 2018-12-13
3, 2018-12-14
0, 2018-12-15
3, 2018-12-16
3, 2018-12-17
17, 2018-12-18
8, 2018-12-19
19, 2018-12-20
5, 2018-12-21
0, 2018-12-22
2, 2018-12-23
0, 2018-12-24
0, 2018-12-25
2, 2018-12-26
20, 2018-12-27
1, 2018-12-28
0, 2018-12-29
0, 2018-12-30
0, 2018-12-31
0, 2019-01-01
3, 2019-01-02
5, 2019-01-03
3, 2019-01-04
2, 2019-01-05
1, 2019-01-06
0, 2019-01-07
3, 2019-01-08
9, 2019-01-09
15, 2019-01-10
4, 2019-01-11
0, 2019-01-12
0, 2019-01-13
16, 2019-01-14
10, 2019-01-15
12, 2019-01-16
2, 2019-01-17
13, 2019-01-18
1, 2019-01-19
1, 2019-01-20
3, 2019-01-21
1, 2019-01-22
21, 2019-01-23
5, 2019-01-24
5, 2019-01-25
0, 2019-01-26
0, 2019-01-27
5, 2019-01-28
3, 2019-01-29
4, 2019-01-30
3, 2019-01-31
17, 2019-02-01
3, 2019-02-02
0, 2019-02-03
9, 2019-02-04
1, 2019-02-05
15, 2019-02-06
14, 2019-02-07
6, 2019-02-08
0, 2019-02-09
0, 2019-02-10
6, 2019-02-11
8, 2019-02-12
16, 2019-02-13
13, 2019-02-14
8, 2019-02-15
0, 2019-02-16
3, 2019-02-17
11, 2019-02-18
6, 2019-02-19
3, 2019-02-20
13, 2019-02-21
10, 2019-02-22
2, 2019-02-23
1, 2019-02-24
0, 2019-02-25
0, 2019-02-26
0, 2019-02-27
7, 2019-02-28
3, 2019-03-01
0, 2019-03-02
0, 2019-03-03
0, 2019-03-04
1, 2019-03-05
0, 2019-03-06
2, 2019-03-07
9, 2019-03-08
3, 2019-03-09
0, 2019-03-10
0, 2019-03-11
0, 2019-03-12
9, 2019-03-13
3, 2019-03-14
7, 2019-03-15
0, 2019-03-16
0, 2019-03-17
5, 2019-03-18
4, 2019-03-19
8, 2019-03-20
6, 2019-03-21
1, 2019-03-22
0, 2019-03-23
4, 2019-03-24
21, 2019-03-25
16, 2019-03-26
8, 2019-03-27
6, 2019-03-28
3, 2019-03-29
0, 2019-03-30
1, 2019-03-31
5, 2019-04-01
0, 2019-04-02
2, 2019-04-03
9, 2019-04-04
12, 2019-04-05
1, 2019-04-06
0, 2019-04-07
0, 2019-04-08
0, 2019-04-09
3, 2019-04-10
13, 2019-04-11
1, 2019-04-12
0, 2019-04-13
0, 2019-04-14
2, 2019-04-15
1, 2019-04-16
5, 2019-04-17
1, 2019-04-18
1, 2019-04-19
5, 2019-04-20
2, 2019-04-21
18, 2019-04-22
6, 2019-04-23
3, 2019-04-24
4, 2019-04-25
0, 2019-04-26
0, 2019-04-27
3, 2019-04-28
10, 2019-04-29
9, 2019-04-30
6, 2019-05-01
10, 2019-05-02
5, 2019-05-03
0, 2019-05-04
11, 2019-05-05
8, 2019-05-06
11, 2019-05-07
7, 2019-05-08
1, 2019-05-09
3, 2019-05-10
1, 2019-05-11
4, 2019-05-12
10, 2019-05-13
6, 2019-05-14
11, 2019-05-15
8, 2019-05-16
10, 2019-05-17
4, 2019-05-18
3, 2019-05-19
5, 2019-05-20
6, 2019-05-21
11, 2019-05-22
4, 2019-05-23
4, 2019-05-24
0, 2019-05-25
2, 2019-05-26
13, 2019-05-27
1, 2019-05-28
8, 2019-05-29
6, 2019-05-30
5, 2019-05-31
0, 2019-06-01
1, 2019-06-02
0, 2019-06-03
5, 2019-06-04
1, 2019-06-05
1, 2019-06-06
25, 2019-06-07
8, 2019-06-08
3, 2019-06-09
10, 2019-06-10
13, 2019-06-11
6, 2019-06-12
3, 2019-06-13
13, 2019-06-14
0, 2019-06-15
1, 2019-06-16
9, 2019-06-17
6, 2019-06-18
11, 2019-06-19
3, 2019-06-20
8, 2019-06-21
11, 2019-06-22
10, 2019-06-23
12, 2019-06-24
0, 2019-06-25
6, 2019-06-26
7, 2019-06-27
3, 2019-06-28
4, 2019-06-29
9, 2019-06-30
12, 2019-07-01
2, 2019-07-02
4, 2019-07-03
3, 2019-07-04
1, 2019-07-05
0, 2019-07-06
3, 2019-07-07
16, 2019-07-08
4, 2019-07-09
21, 2019-07-10
4, 2019-07-11
